,User ID,User's Cover Picture,User's Name,User's Handle,Description,Likes,Verified,Followers
10,6813630187164533765,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/70fa2312fcd2c8b0026a08720321059b~c5_100x100.jpeg?x-expires=1623369600&x-signature=qPBgTMyYzAxh45sWvR2MRuQvv9Y%3D,Siennamae,@siennamae,"I’ll be famous one day
ceo of 🐿💨",905100000,True,14400000.0
11,6879693940111901701,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/672d48539962ac07c4b32013fdc92386~c5_100x100.jpeg?x-expires=1623369600&x-signature=Gz1g7tKh7CSZvlqcQJ11zJpmIyw%3D,Billie Eilish,@billieeilish,19,131500000,True,30500000.0
12,6625714545389142022,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5f67f75eb7315f5fc8096a8702cd21de~c5_100x100.jpeg?x-expires=1623369600&x-signature=DxJsYUjYrzNOQI87E8iyzCbxuzg%3D,Overtime,@overtime,"Best page in the galaxy 💫
Thanks for being my friends 🤞
New ep with IGNITE ⬇️",1200000000,True,16900000.0
13,7239462,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5cfe0c2045df1c1cee0aec9a96cf0cce~c5_100x100.jpeg?x-expires=1623369600&x-signature=%2FDJ%2FE3f7LiidsDXQcXRDFiCGMQI%3D,Malu Trevejo,@malutrevejo,"18💜♎️ 🇨🇺 🇪🇸 
I’m back :) 🦋",449300000,True,17700000.0
14,6775033566016963589,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1655224972112917~c5_100x100.jpeg?x-expires=1623369600&x-signature=cz8oYl8CBi0gIKGpEAm3Y0gpCXA%3D,Noah Beck,@noahbeck,"ur luv’d<3
do what makes you happy
business: noah@talentxent.com",1700000000,True,27400000.0
15,6746417382892176389,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/681c4a1d1742a6700d88f0ca5123955e~c5_100x100.jpeg?x-expires=1623369600&x-signature=Vg9mk2pxqm3RigXs6zuDX50C8o8%3D,Keemokazi,@keemokazi,"Following back on IG for the next 24 hours ↖️🔥
“WAKE EM UP” OUT NOW ⬇️⏰",760900000,True,18400000.0
16,84635664075374592,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1635628995991557~c5_100x100.jpeg?x-expires=1623369600&x-signature=6we9%2F75uOvFxM78BQ9KFDofZkCM%3D,Lizzo,@lizzo,100% that bitch,499100000,True,16100000.0
17,6544081646253342726,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/90b789568d04e7229298d5bbffe6f0f1.jpeg?x-expires=1623369600&x-signature=2HgcqUWLrhOhgdrYUagg6Wk%2BSjs%3D,Ri,@riwww,"I’m Renata. 18
thx 7m 
insta: @ri.www
Ri.collab@inbox.ru",197300000,False,7400000.0
18,6718992235998741510,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9f690bf4667da280a63887c172fe4cf2~c5_100x100.jpeg?x-expires=1623369600&x-signature=4Zk9mqxR33cJoaUpe8nVP7OfXQ4%3D,Scott 🔥,@scottsreality,"Donating to new IG followers!💰 
📧 Scott@grail-talent.com",449300000,True,24400000.0
19,6763517179218330630,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/255ba841bacb92052229fc3aeafde015~c5_100x100.jpeg?x-expires=1623369600&x-signature=hgbNa%2BAC350fcTZqMN1M3m80oAY%3D,Otakoyakisoba,@otakoyakisoba,"Olly & Mama LuLu
Your favorite Mother & Son duo.
⬇️SOCIAL AND MERCH LINKS",400400000,True,9400000.0
20,6732675975610074118,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/81dd03ab48e571529193c93e79d59201~c5_100x100.jpeg?x-expires=1623369600&x-signature=rSHNNA8QalvrcTZc0ifDf3Wh7Dg%3D,Brooke Monk,@brookemonk_,"❤️Jesus forever❤️
 18
I’m not funny 
New YouTube Video!
MERCH",1100000000,True,15500000.0
21,6646764999833403398,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1622757102140422~c5_100x100.jpeg?x-expires=1623369600&x-signature=QVbkKEjNgSmXqPc%2Fcqsg9aV5ot4%3D,Barstool Sports,@barstoolsports,"🗣 Viva La Stool

Going viral is a sport",851300000,True,13700000.0
22,91752822198640640,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1654948033311749~c5_100x100.jpeg?x-expires=1623369600&x-signature=cFT8R8Ta2DCsdl1pAUksSwnSS5o%3D,Savage 😈,@itsavage,"CEO Of It Works 😃👍
-
Buisness - HendrickGoldsman@gmail.com
-
Click The Link👇",300100000,True,12700000.0
23,6707397283459417094,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1661292148680709~c5_100x100.jpeg?x-expires=1623369600&x-signature=iUTj8hQSK4CS5OQpCopJ4rxq1sQ%3D,Joe Bartolozzi,@joe.bartolozzi,"19
NJ
Insta/Snap: joe.bartolozzi
Twitch: Joe_Bartolozzi
I’m not mad I’m joking❤️",561000000,True,9900000.0
24,6904838098921440262,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aed02abd1690b964d48b79606e83526f~c5_100x100.jpeg?x-expires=1623369600&x-signature=84HyLJPbh5kI6N1PX%2Fd%2F1lVGCCY%3D,Northeasterner,@northeasterner,Follow me to watch more food video,83400000,False,5700000.0
25,6716859375102870533,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d1c67b5642a07ee4b1a8bed8a4f39f7f~c5_100x100.jpeg?x-expires=1623369600&x-signature=%2FixMmHqgQlMgZL9GJ63RppiEuXc%3D,Wren & Jacquelyn,@wren.eleanor,"Wren PO Box 461243 Papillion, NE 68046 📬
teamwren@select.co 💗 We love you all!",276000000,False,11000000.0
26,6678709915819262982,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ee21cc15085b839466dd2e843b66d7c4~c5_100x100.jpeg?x-expires=1623369600&x-signature=%2FVfBn703iwPO2qFrfDn1s6mRO6s%3D,Anna X,@annaxsitar,"i’m so happy you’re here. 
📍los angeles
CEO of ‘i don’t want it’ & starbies",788700000,True,9500000.0
27,6699542567460389894,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1635689550192645~c5_100x100.jpeg?x-expires=1623369600&x-signature=pD%2BPu3wpwdHnyn1voR06xJz3rrY%3D,Jay Brewer,@jayprehistoricpets,Sub to my YouTube for even more animal fun see you here on TikTok tomorrow 🤗🙌,173900000,True,13600000.0
28,17309235,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/756230fa97057b57cb6e0f5b62ee03e8~c5_100x100.jpeg?x-expires=1623369600&x-signature=izrW0Zh0Imd1IxmzYrH3KswpNOA%3D,Gary Vaynerchuk ,@garyvee,"🔑 Entrepreneur
🔮 Investor in Uber, Snap, Venmo, Twitter 
✈️ CEO of VaynerMedia",219400000,True,6700000.0
29,6832705390443365381,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ce9e9af0f548437921c3b1aa256597d2~c5_100x100.jpeg?x-expires=1623369600&x-signature=Tt%2F8PrvHM29ntOPfL%2BgqpJSaxUU%3D,Munanyo.Com,@jaykindafunny8,Bichotaso Muñañyo?↙️,295400000,False,16400000.0
